API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
199800692,163846513,,,363644267,409607533,573451108,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363649886,9554,363659440,409593736,773253176,409607244,819210534,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363659927,4797,363664724,819196752,1182861476,409607565,1228809114,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363665118,5035,363670153,1228800008,1592470161,409607500,1638412543,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363670463,5511,363675974,1638402839,2002078813,409607471,2048015821,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363676244,4041,363680285,2048007407,2411687692,409607214,2457618662,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363680567,6319,363686886,2457609140,2821296026,409607502,2867222961,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363687152,3929,363691081,2867213663,3230904744,409607406,3276824998,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363691348,4550,363695898,3276817692,3640513590,409607183,3686429425,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363696186,5701,363701887,3686420005,4050121892,409607496,4096033202,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363702151,4831,363706982,4096023526,4459730508,409607495,4505635852,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363707246,5448,363712694,4505626397,4869339091,409607528,4915239373,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363713268,4565,363717833,4915229938,5278947771,409607463,5324841966,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363718254,4623,363722877,5324833413,5688556290,409607562,5734445598,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363723143,6324,363729467,5734435505,6098164972,409607506,6144049335,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363729712,4899,363734611,6144039339,6507773950,409607155,6553651393,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363734851,5741,363740592,6553641889,6917382481,409607251,6963254881,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363740893,3974,363744867,6963246017,7326990884,409607475,7372857466,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363745106,4506,363749612,7372849867,7736599479,409607506,7782461879,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363749917,5639,363755556,7782452485,8146208041,409607570,8192065694,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363755792,4900,363760692,8192056327,8555817019,409607219,8601668446,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363760994,4924,363765918,8601659376,8965425294,409607569,9011271869,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363766250,4387,363770637,9011263346,9375033983,409607507,9420875240,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363770981,3981,363774962,9420867680,9784642642,409607473,9830479134,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363775226,5338,363780564,9830470703,10194251267,409607473,10240083514,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363780873,4800,363785673,10240074251,10603859924,409607440,10649686491,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363785968,4747,363790715,10649677801,11013468516,409607472,11059290020,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363791024,4882,363795906,11059281138,11423077044,409607568,11468893588,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363796297,4224,363800521,11468885499,11832686020,409607216,11878496939,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363801021,5815,363806836,11878487455,12242294291,409607569,12288100839,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363807180,5252,363812432,12288090548,12651902980,409607503,12697703303,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363812675,4816,363817491,12697694112,13061511603,409607504,13107306432,3461,3461,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
