API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
298465210,1115117860,,,1413582211,204803527,1319920528,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413586071,16680,1413602751,204784299,1618387050,204803912,409604891,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413603418,11906,1413615324,409576821,1823192145,204804039,614392766,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413615688,10395,1413626083,614371414,2027997497,204803911,819185720,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413626471,11367,1413637838,819164818,2232802656,204803977,1023980162,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413638187,10393,1413648580,1023959205,2437607785,204804072,1228773670,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413648948,11627,1413660575,1228752594,2642413169,204803913,1433568134,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413660977,9961,1413670938,1433547455,2847218393,204803913,1638361329,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413671282,10225,1413681507,1638342335,3052023842,204803688,1843156248,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413681861,9988,1413691849,1843137089,3256828938,204803817,2047950894,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413692194,10278,1413702472,2047931787,3461634259,204803720,2252745785,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413702816,14353,1413717169,2252722186,3666439355,204803848,2457540387,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413717755,10047,1413727802,2457516777,3871244579,204803849,2662330673,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413728250,9830,1413738080,2662311756,4076049836,204803818,2867125404,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413738428,9759,1413748187,2867106844,4280855031,204803850,3071920453,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413748560,9941,1413758501,3071901884,4485660385,204803723,3276715548,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413758857,10641,1413769498,3276696178,4690465676,204803658,3481510477,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413769862,10003,1413779865,3481490910,4895270775,204803786,3686304699,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413780232,9954,1413790186,3686285847,5100076033,204803755,3891099556,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413790536,10170,1413800706,3891080650,5304881356,204803659,4095894479,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413801065,9970,1413811035,4095875483,5509686518,204803723,4300689176,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413811392,10088,1413821480,4300670297,5714491777,204803691,4505484076,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413821875,11805,1413833680,4505463292,5919296972,204803722,4710278819,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413834092,9868,1413843960,4710258238,6124102198,204803720,4915071826,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413844322,9892,1413854214,4915053112,6328907326,204803815,5119866819,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413854571,9959,1413864530,5119848019,6533712549,204803816,5324661794,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413864929,9921,1413874850,5324642891,6738517741,204803848,5529456660,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413875200,10028,1413885228,5529437929,6943323157,204803656,5734251613,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413885592,9894,1413895486,5734232734,7148128220,204803816,5939046444,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413895840,10034,1413905874,5939027762,7352933636,204803624,6143841420,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413906249,9979,1413916228,6143822440,7557738668,204803816,6348636235,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413916584,9940,1413926524,6348617528,7762544052,204803655,6553431123,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413926885,11981,1413938866,6553410377,7967349243,204803689,6758226047,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1413939317,12000,1413951317,6758203023,8172154340,204803818,6963018841,3098,3098,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
