API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
296375360,1136322946,1432698306,2252,1432700558,1638421863,2774747061,2909,2909,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1432701030,17362,1432718392,1638405245,3071123637,1638421923,3276844530,2909,2909,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1432719052,10980,1432730032,3276816841,4709546873,1638421841,4915249662,2909,2909,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1432730418,9785,1432740203,4915229791,6347969994,1638421874,6553661450,2909,2909,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1432740649,10931,1432751580,6553641536,7986393116,1638421922,8192074389,2909,2909,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1432751989,9901,1432761890,8192054428,9624816318,1638421893,9830486222,2909,2909,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1432762259,10416,1432772675,9830466880,11263239555,1638421812,11468899108,2909,2909,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1432773036,10012,1432783048,11468879535,12901662583,1638421943,13107311490,2909,2909,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
