API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
199154406,163825866,,,362975000,204804553,368625147,3526,3526,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
362982774,8784,362991558,204789403,567780961,204804009,409602196,3526,3526,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
362992060,4763,362996823,409589299,772586122,204804265,614398327,3526,3526,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
362997123,5171,363002294,614389085,977391379,204804425,819198681,3526,3526,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363002610,4926,363007536,819189357,1182196893,204804328,1023998611,3526,3526,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363007806,4161,363011967,1023990246,1387002213,204804426,1228798833,3526,3526,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363012239,5786,363018025,1228789702,1591807727,204804329,1433599817,3526,3526,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363018311,3982,363022293,1433590915,1796613208,204804265,1638399162,3526,3526,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363022526,5742,363028268,1638390229,2001418497,204804392,1843200363,3526,3526,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363028534,5001,363033535,1843190442,2206223977,204804327,2047999770,3526,3526,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363033796,4789,363038585,2047990775,2411029360,204804360,2252799924,3526,3526,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363038818,5311,363044129,2252790647,2615834776,204804359,2457600317,3526,3526,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363044503,4491,363048994,2457591133,2820640127,204804423,2662400047,3526,3526,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363049335,5533,363054868,2662390770,3025445638,204804328,2867200631,3526,3526,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363055101,5060,363060161,2867190957,3230251118,204804263,3072000280,3526,3526,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363060448,4760,363065208,3071991613,3435056821,204803975,3276800348,3526,3526,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363065441,5457,363070898,3276791050,3639861948,204804264,3481600771,3526,3526,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
363071132,3945,363075077,3481592287,3844667364,204804263,3686400495,3526,3526,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
