Timestamps,Epoch,Thput (img/s),Epoch Loss,Bsize
1732850424.8176532,1,5679.587301319917,3.6842925548553467,256
1732850433.8071432,2,7070.07017269308,3.531198024749756,256
1732850442.49323,3,7011.491124737523,2.935992479324341,256
1732850451.1254332,4,7036.374210138683,2.351367950439453,256
1732850459.7875614,5,7018.845489291196,2.531416416168213,256
1732850468.4078887,6,7053.84122601069,2.424807548522949,256
1732850477.0806344,7,7015.627758836993,1.9277751445770264,256
1732850485.7503831,8,7026.838231056521,1.628866195678711,256
1732850494.3953028,9,7031.092240405962,1.711504340171814,256
1732850503.0309837,10,7032.789201906368,1.545039415359497,256
1732850511.7890677,11,7040.3871052687855,1.4343219995498657,256
1732850520.4618034,12,7013.327567014561,1.3703616857528687,256
1732850529.1196456,13,7014.282512480388,1.4106147289276123,256
1732850537.7881618,14,7017.719981209802,1.2981922626495361,256
1732850546.408339,15,7040.2119712259155,1.1747769117355347,256
1732850555.0478144,16,7029.023136144254,1.632761001586914,256
1732850563.6363037,17,7063.228014214483,1.184572458267212,256
1732850572.2577403,18,7026.857066729999,1.092368245124817,256
1732850580.833115,19,7081.192668697609,1.5364961624145508,256
1732850589.450102,20,7034.377499861554,1.3851767778396606,256
1732850598.2172136,21,7035.267854866469,1.2170653343200684,256
1732850606.8460302,22,7051.463987300081,1.3108786344528198,256
1732850615.502343,23,7040.373396756781,1.278638243675232,256
1732850624.1082995,24,7074.146660684831,0.9580799341201782,256
1732850632.7243705,25,7059.597773476048,1.1394726037979126,256
1732850641.3917031,26,7033.376031361285,1.314761757850647,256
1732850650.0399795,27,7045.302919181182,1.3424129486083984,256
1732850658.6596286,28,7066.570287026852,1.0753366947174072,256
1732850667.3188925,29,7031.181819117534,1.259555697441101,256
1732850675.9704149,30,7051.791198314445,1.0598335266113281,256
1732850684.7658691,31,7040.250495240857,1.0021480321884155,256
1732850693.4148884,32,7046.376209233646,1.5652120113372803,256
1732850702.0191867,33,7081.29022359115,1.1324875354766846,256
1732850710.6647377,34,7048.318383713562,0.9571996927261353,256
1732850719.3310237,35,7044.056996767493,0.9786219596862793,256
1732850727.9951549,36,7060.203822097779,1.49118971824646,256
1732850736.6494222,37,7068.47000590648,0.8655804395675659,256
1732850745.267401,38,7069.1009308154735,1.2831467390060425,256
1732850753.945647,39,7012.066433594492,1.0675938129425049,256
1732850762.6077416,40,7046.636177361696,0.7580893635749817,256
1732850771.3859549,41,7050.46926263589,1.0948212146759033,256
1732850780.0232441,42,7073.490737957159,0.963239312171936,256
1732850788.6740682,43,7058.777040569947,1.0872710943222046,256
1732850797.3184254,44,7053.599230826616,1.085456132888794,256
1732850805.996341,45,7031.598625876426,0.8849935531616211,256
1732850814.6771147,46,7039.30689636931,1.091523289680481,256
1732850823.344357,47,7047.976572435967,1.3010931015014648,256
1732850832.0331216,48,7027.996106296484,0.8214682340621948,256
1732850840.7128901,49,7047.351543866365,1.0441831350326538,256
1732850849.3981743,50,7029.502126764681,1.0862839221954346,256
1732850858.2012115,51,7051.663629829085,0.9529174566268921,256
1732850866.8833022,52,7040.014867218897,0.7800642848014832,256
1732850875.5656016,53,7034.595525147493,0.9194961786270142,256
1732850884.2210145,54,7043.304923813387,1.1158263683319092,256
1732850892.8692296,55,7053.037486413713,1.1442039012908936,256
1732850901.5276763,56,7048.974147769536,1.0240839719772339,256
1732850910.188955,57,7046.662932911626,1.1071999073028564,256
1732850918.875458,58,7049.262504618076,1.219892978668213,256
1732850927.5403423,59,7041.042812648745,0.6961324214935303,256
1732850936.2207978,60,7036.569929846087,0.49932026863098145,256
1732850945.039604,61,7027.191181269661,0.3353891968727112,256
1732850953.7457936,62,7030.761761851599,0.4225311279296875,256
1732850962.4402425,63,7028.536201778168,0.17482370138168335,256
1732850971.1216395,64,7037.012168987857,0.19679324328899384,256
1732850979.8441002,65,7024.321516302094,0.12650345265865326,256
1732850988.535625,66,7022.577608173594,0.15432803332805634,256
1732850997.192756,67,7059.58660414465,0.20832248032093048,256
1732851005.9035363,68,7016.122060568331,0.18534685671329498,256
1732851014.5898156,69,7027.690881891845,0.19931459426879883,256
1732851023.2737708,70,7029.983774887339,0.15509141981601715,256
1732851032.0845973,71,7045.691102803898,0.18056197464466095,256
1732851040.7591841,72,7048.609292882469,0.1820635348558426,256
1732851049.440584,73,7036.195734589508,0.21179798245429993,256
1732851058.139891,74,7024.979176147915,0.15562859177589417,256
1732851066.8109255,75,7027.6272968111525,0.16269563138484955,256
1732851075.5180657,76,7037.923739471524,0.17418557405471802,256
1732851084.1734571,77,7061.410762897639,0.2791869640350342,256
1732851092.8457003,78,7039.406372325786,0.18820616602897644,256
1732851101.5199785,79,7034.9188126226345,0.15855559706687927,256
1732851110.2072513,80,7016.729353716397,0.25218790769577026,256
1732851119.0379493,81,7032.19916910043,0.11895702034235,256
1732851127.7037306,82,7054.232012112352,0.15727278590202332,256
1732851136.3948026,83,7019.149475961573,0.1111290454864502,256
1732851145.055323,84,7048.635115785019,0.1630595475435257,256
1732851153.761535,85,7015.1522997260645,0.1723042130470276,256
1732851162.4313548,86,7045.785078075213,0.15830962359905243,256
1732851171.1175401,87,7029.631722264331,0.19828546047210693,256
1732851179.8115997,88,7030.655459020586,0.2872331738471985,256
1732851188.4713252,89,7049.28975402014,0.17551711201667786,256
1732851197.1221833,90,7047.832325233652,0.15449686348438263,256
1732851205.9505525,91,7014.267497815516,0.2924487888813019,256
1732851214.6428757,92,7018.660620011719,0.23708347976207733,256
1732851223.3069248,93,7045.483277227198,0.19949069619178772,256
1732851231.9760501,94,7041.157467615206,0.1610800325870514,256
1732851240.627302,95,7046.760722623345,0.3677158057689667,256
1732851249.3303268,96,7009.36676983426,0.12305387109518051,256
1732851258.0010257,97,7050.727399433724,0.14489689469337463,256
1732851266.6725342,98,7034.02878188407,0.22256016731262207,256
