Timestamps,Epoch,Thput (img/s),Epoch Loss,Bsize
1732855538.7419755,1,6283.937959464676,4.140405178070068,256
1732855545.9252963,2,8622.22831074709,3.542339324951172,256
1732855552.7738569,3,8679.701582281416,3.3178648948669434,256
1732855559.60993,4,8665.928814451325,3.2525131702423096,256
1732855566.4705625,5,8618.188970158735,2.996058702468872,256
1732855573.420439,6,8480.196496618499,2.6509642601013184,256
1732855580.186738,7,8742.205015319218,2.5656113624572754,256
1732855586.9832275,8,8700.427493167008,2.4121522903442383,256
1732855593.7972562,9,8737.926535738654,2.531965732574463,256
1732855600.5751143,10,8719.164790331966,2.2266170978546143,256
1732855607.4658802,11,8656.319214319099,2.1635704040527344,256
1732855614.2641702,12,8722.875570148548,2.2161941528320312,256
1732855621.0818634,13,8689.713165361793,1.7922117710113525,256
1732855627.8663156,14,8735.940976145861,2.045450210571289,256
1732855634.671173,15,8674.180767082824,2.127795696258545,256
1732855641.4819658,16,8708.06113271913,2.1124086380004883,256
1732855648.3026834,17,8702.219274387935,1.9748634099960327,256
1732855655.154357,18,8678.035047947944,1.8910019397735596,256
1732855661.9186144,19,8744.995239598005,1.7376819849014282,256
1732855668.8128612,20,8613.4493473064,2.024172306060791,256
1732855675.6250424,21,8796.200350421597,2.0098824501037598,256
1732855682.390365,22,8777.48976881299,1.7421566247940063,256
1732855689.182567,23,8749.99321997691,1.9196876287460327,256
1732855695.9183161,24,8805.325303167589,1.7562557458877563,256
1732855702.7661004,25,8662.360776170577,1.7980477809906006,256
1732855709.562944,26,8747.742728720834,1.7676117420196533,256
1732855716.372493,27,8728.16068240696,2.0306320190429688,256
1732855723.2006521,28,8715.638270955997,1.889346718788147,256
1732855730.0133219,29,8773.472515062651,1.5231244564056396,256
1732855736.8220863,30,8728.66237096657,1.6916654109954834,256
1732855743.6799362,31,8735.245970571477,1.9275506734848022,256
1732855750.4604168,32,8809.900989267151,1.5658822059631348,256
1732855757.2602587,33,8763.532240649796,1.3756073713302612,256
1732855764.0597534,34,8794.180108863808,1.5285619497299194,256
1732855770.8573887,35,8772.442355385245,1.5490301847457886,256
1732855777.6692827,36,8738.86266424652,1.8331947326660156,256
1732855784.497256,37,8738.377279699058,1.6982663869857788,256
1732855791.251645,38,8806.887234155849,1.711496114730835,256
1732855798.2090201,39,8516.04585726834,1.6571842432022095,256
1732855805.042204,40,8698.64979944989,2.2013442516326904,256
1732855811.9241414,41,8720.810533310228,1.527334451675415,256
1732855818.8246229,42,8606.91729298622,1.7062301635742188,256
1732855825.678851,43,8683.397896500985,1.6613365411758423,256
1732855832.5456645,44,8678.907025308126,1.533198356628418,256
1732855839.4388735,45,8630.826625516069,1.7204316854476929,256
1732855846.3065844,46,8677.294651210037,1.40348482131958,256
1732855853.1581872,47,8688.4236037375,1.6562484502792358,256
1732855860.0232263,48,8677.276699414771,1.5772374868392944,256
1732855866.8513753,49,8722.067648144935,1.5890424251556396,256
1732855873.713526,50,8660.423712214619,1.6359376907348633,256
1732855880.6283731,51,8633.471911715584,1.6655137538909912,256
1732855887.5019748,52,8677.139550150438,1.6651967763900757,256
1732855894.3681982,53,8704.098856122751,1.639627456665039,256
1732855901.2239614,54,8702.967542483339,1.5940967798233032,256
1732855908.0797517,55,8694.0213181685,1.6606441736221313,256
1732855914.9117124,56,8698.357556385805,1.6379318237304688,256
1732855921.7376132,57,8720.425056851222,1.585066795349121,256
1732855928.6495245,58,8626.544664821535,1.7305675745010376,256
1732855935.5023406,59,8696.633361292967,1.5331382751464844,256
1732855942.3209028,60,8748.131353954484,1.3951525688171387,256
1732855949.2191575,61,8674.985224224461,1.1203267574310303,256
1732855956.0959735,62,8669.991534865061,0.8876315951347351,256
1732855962.9461741,63,8688.562909792241,1.0884804725646973,256
1732855969.7903562,64,8675.272310173814,1.1608242988586426,256
