Timestamps,Epoch,Thput (img/s),Epoch Loss,Bsize
1733214845.2146409,1,5041.934216014177,4.33984375,1024
1733214853.1761706,2,7384.542663206899,3.62109375,1024
1733214860.7656808,3,7393.848235288269,3.525390625,1024
1733214868.366914,4,7380.714461206599,3.177734375,1024
1733214876.018382,5,7321.759414508385,2.875,1024
1733214883.619446,6,7388.6481596500325,2.609375,1024
1733214891.2116256,7,7399.640954654567,2.337890625,1024
1733214898.8279986,8,7378.931142356604,2.099609375,1024
1733214906.4151647,9,7411.4047916259815,1.9794921875,1024
1733214914.0745811,10,7325.950716867602,1.9189453125,1024
1733214921.7941048,11,7372.686328152589,1.8046875,1024
1733214929.395248,12,7392.966192410121,1.67578125,1024
1733214937.053736,13,7349.158846880352,1.513671875,1024
1733214944.6911879,14,7346.6080223068475,1.5009765625,1024
1733214952.2861054,15,7395.4259590611555,1.3056640625,1024
1733214959.8581164,16,7418.424906980154,1.3095703125,1024
1733214967.4767332,17,7364.196949512098,1.2587890625,1024
1733214975.078098,18,7399.900226793855,1.2978515625,1024
1733214982.7142413,19,7351.126982443332,1.24609375,1024
1733214990.3148696,20,7388.6937151471475,1.0517578125,1024
1733214998.0374417,21,7381.158672041019,1.103515625,1024
1733215005.6280253,22,7396.958698263488,1.216796875,1024
1733215013.2349243,23,7385.033105404604,0.9970703125,1024
1733215020.8362114,24,7393.727541461632,0.91455078125,1024
1733215028.389972,25,7428.948339784041,0.9365234375,1024
1733215035.996552,26,7381.684780343741,0.92041015625,1024
1733215043.6091173,27,7384.412392321979,0.947265625,1024
1733215051.162715,28,7446.923388288496,0.80322265625,1024
1733215058.7739594,29,7395.381363670842,0.8642578125,1024
1733215066.3684545,30,7398.754657931712,0.80908203125,1024
1733215074.0508103,31,7405.236439794954,0.7412109375,1024
1733215081.6943579,32,7374.181650870641,0.802734375,1024
1733215089.3071005,33,7370.600681855915,0.64306640625,1024
1733215096.9018505,34,7393.915752560041,0.63671875,1024
1733215104.5000184,35,7390.073401684737,0.65869140625,1024
1733215112.0973597,36,7387.369971281171,0.630859375,1024
1733215119.6880038,37,7417.776266583692,0.5849609375,1024
1733215127.34072,38,7348.3708577656835,0.57470703125,1024
1733215134.935834,39,7398.583166412768,0.59375,1024
1733215142.5393655,40,7382.999729485655,0.491455078125,1024
1733215150.2485192,41,7398.551322591877,0.48291015625,1024
1733215157.8684242,42,7377.394185775353,0.448974609375,1024
1733215165.5754879,43,7271.637630594365,0.465576171875,1024
1733215173.1723971,44,7405.377644767641,0.478515625,1024
1733215180.884547,45,7267.416051487696,0.4541015625,1024
1733215188.5172377,46,7375.171780340469,0.401123046875,1024
1733215196.082724,47,7441.3133345766555,0.401611328125,1024
1733215203.7010672,48,7423.387135597223,0.4072265625,1024
1733215211.2785091,49,7411.695273960686,0.379638671875,1024
1733215218.864294,50,7401.041187849833,0.382568359375,1024
1733215226.6160083,51,7391.231913456181,0.339111328125,1024
1733215234.128654,52,7477.709074446163,0.385498046875,1024
1733215241.6951504,53,7430.641389719062,0.30126953125,1024
1733215249.2648947,54,7424.323237197971,0.3740234375,1024
1733215256.8519368,55,7412.051008321077,0.327880859375,1024
1733215264.4301126,56,7420.513291751984,0.31787109375,1024
1733215272.0894804,57,7324.194016375111,0.3134765625,1024
1733215279.6729193,58,7403.159257207355,0.3134765625,1024
1733215287.2859323,59,7386.677055871953,0.343017578125,1024
1733215294.8448832,60,7434.50628600972,0.089599609375,1024
1733215302.4970455,61,7432.6555233351455,0.06304931640625,1024
1733215310.0694392,62,7414.883955930425,0.056884765625,1024
1733215317.6370618,63,7415.876917105699,0.04364013671875,1024
1733215325.1672373,64,7463.374905624689,0.0401611328125,1024
1733215332.6952991,65,7477.304087082708,0.040679931640625,1024
1733215340.2548854,66,7436.395414519742,0.036163330078125,1024
1733215347.8595395,67,7388.421171488962,0.044036865234375,1024
1733215355.4536629,68,7400.240467446753,0.0418701171875,1024
1733215363.01865,69,7427.061151377361,0.0294647216796875,1024
1733215370.629705,70,7389.3487351387785,0.0257720947265625,1024
1733215378.305521,71,7425.332925211568,0.02947998046875,1024
1733215385.8881335,72,7398.792246176139,0.031524658203125,1024
1733215393.3963535,73,7491.370723601815,0.0238800048828125,1024
1733215400.9462805,74,7444.041600834978,0.0261688232421875,1024
