API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
290702638,1133475646,1424178284,1957,1424180241,409608556,1543086159,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424181788,16671,1424198459,409591553,1833790012,409608905,819217129,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424199209,11281,1424210490,819189739,2243400229,409608806,1228809826,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424210922,10424,1424221346,1228788969,2653010315,409608837,1638408230,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424221765,11158,1424232923,1638387605,3062620528,409608741,2048007504,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424233332,10026,1424243358,2047987191,3472230549,409608837,2457606054,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424243801,11675,1424255476,2457585126,3881840602,409608907,2867205708,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424255885,10025,1424265910,2867184783,4291450693,409608944,3276803752,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424266346,10372,1424276718,3276784326,4701061044,409608720,3686403418,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424277126,10007,1424287133,3686384231,5110671364,409608527,4096002765,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424287548,9938,1424297486,4095983748,5520281234,409608784,4505602470,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424297901,13020,1424310921,4505580472,5929891393,409608751,4915202243,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424311587,10265,1424321852,4915179732,6339501584,409608685,5324798682,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424322357,9968,1424332325,5324779481,6749111806,409608590,5734398039,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424332748,10089,1424342837,5734379095,7158721932,409608589,6143997773,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424343240,9940,1424353180,6143978845,7568332025,409608622,6553597407,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424353580,10412,1424363992,6553578223,7977942215,409608556,6963197191,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424364434,10034,1424374468,6963177839,8387552307,409608586,7372796459,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424374872,9851,1424384723,7372777674,8797162397,409608618,7782396143,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424385125,9943,1424395068,7782377483,9206772551,409608586,8191996012,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424395470,9864,1424405334,8191977308,9616382642,409608618,8601595790,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424405729,10033,1424415762,8601576970,10025992732,409608654,9011195657,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424416188,11888,1424428076,9011174846,10435602922,409608590,9420795324,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424428558,10001,1424438559,9420774521,10845213080,409608558,9830393080,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424438972,9828,1424448800,9830374439,11254823239,409608526,10239992793,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424449227,9895,1424459122,10239974146,11664433268,409608623,10649592664,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424459518,9901,1424469419,10649573944,12074043363,409608654,11059192499,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424469853,10086,1424479939,11059173454,12483653393,409608751,11468792291,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424480478,9726,1424490204,11468773444,12893263648,409608623,11878391793,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424490613,12671,1424503284,11878370555,13302873839,409608559,12287991785,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424503738,9740,1424513478,12287970488,13712483966,409608559,12697588787,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1424513869,9976,1424523845,12697570183,14122094028,409608623,13107188782,4033,4033,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
