size,bw
64,0.008315
128,0.016439000000000002
256,0.033982
512,0.070008
1024,0.134576
2048,0.26369
4096,0.5228010000000001
8192,1.0391210000000002
16384,2.223405
32768,4.098734
65536,8.823318
131072,17.166366
262144,35.594023
524288,67.138166
1048576,130.407609
2097152,282.3194
4194304,552.912292
8388608,1057.189901
16777216,2154.356275
33554432,2411.272387
67108864,2653.391579
134217728,2763.712817
268435456,2823.170606
536870912,2833.9395510000004
1073741824,2862.990797
