type,bw,lat,size,id
D2H-Paged,1.33136,0.00020,262144,1
D2H-Paged,2.05773,0.00025,524288,1
D2H-Paged,2.14358,0.00049,1048576,1
D2H-Paged,2.35593,0.00089,2097152,1
D2H-Paged,2.63647,0.00159,4194304,1
D2H-Paged,2.58334,0.00325,8388608,1
D2H-Paged,2.71425,0.00618,16777216,1
D2H-Paged,2.57495,0.01303,33554432,1
D2H-Paged,2.57601,0.02605,67108864,1
D2H-Paged,2.50419,0.05360,134217728,1
D2H-Paged,2.42874,0.11052,268435456,1
D2H-Paged,2.30166,0.23325,536870912,1
D2H-Paged,2.30956,0.46491,1073741824,1
D2H-Paged,0.00136,0.00005,64,1
D2H-Paged,0.00290,0.00004,128,1
D2H-Paged,0.00575,0.00004,256,1
D2H-Paged,0.01140,0.00004,512,1
D2H-Paged,0.02189,0.00005,1024,1
D2H-Paged,0.04316,0.00005,2048,1
D2H-Paged,0.08140,0.00005,4096,1
D2H-Paged,0.15935,0.00005,8192,1
D2H-Paged,0.28415,0.00006,16384,1
D2H-Paged,0.45104,0.00007,32768,1
D2H-Paged,0.74668,0.00009,65536,1
D2H-Paged,1.14744,0.00011,131072,1
D2H-Paged,1.54584,0.00017,262144,1
D2H-Paged,1.82953,0.00029,524288,1
D2H-Paged,2.27758,0.00046,1048576,1
D2H-Paged,2.28112,0.00092,2097152,1
D2H-Paged,2.44831,0.00171,4194304,1
D2H-Paged,2.70222,0.00310,8388608,1
D2H-Paged,2.91998,0.00575,16777216,1
D2H-Paged,2.65330,0.01265,33554432,1
D2H-Paged,2.67775,0.02506,67108864,1
D2H-Paged,2.52173,0.05322,134217728,1
D2H-Paged,2.56386,0.10470,268435456,1
D2H-Paged,2.45380,0.21879,536870912,1
D2H-Paged,2.26486,0.47409,1073741824,1
D2H-Paged,0.00139,0.00005,64,1
D2H-Paged,0.00282,0.00005,128,1
D2H-Paged,0.00549,0.00005,256,1
D2H-Paged,0.01036,0.00005,512,1
D2H-Paged,0.02157,0.00005,1024,1
D2H-Paged,0.03877,0.00005,2048,1
D2H-Paged,0.08286,0.00005,4096,1
D2H-Paged,0.14734,0.00006,8192,1
D2H-Paged,0.28484,0.00006,16384,1
D2H-Paged,0.45753,0.00007,32768,1
D2H-Paged,0.90594,0.00007,65536,1
D2H-Paged,1.06493,0.00012,131072,1
D2H-Paged,1.32176,0.00020,262144,1
D2H-Paged,1.77196,0.00030,524288,1
D2H-Paged,2.33531,0.00045,1048576,1
D2H-Paged,2.17045,0.00097,2097152,1
D2H-Paged,2.54871,0.00165,4194304,1
D2H-Paged,2.66162,0.00315,8388608,1
D2H-Paged,2.63356,0.00637,16777216,1
D2H-Paged,2.66379,0.01260,33554432,1
D2H-Paged,2.63635,0.02546,67108864,1
D2H-Paged,2.59289,0.05176,134217728,1
D2H-Paged,2.51814,0.10660,268435456,1
D2H-Paged,2.30854,0.23256,536870912,1
D2H-Paged,2.43463,0.44103,1073741824,1
D2H-Paged,0.00137,0.00005,64,1
D2H-Paged,0.00277,0.00005,128,1
D2H-Paged,0.00523,0.00005,256,1
D2H-Paged,0.01101,0.00005,512,1
D2H-Paged,0.02093,0.00005,1024,1
D2H-Paged,0.04288,0.00005,2048,1
D2H-Paged,0.07615,0.00005,4096,1
D2H-Paged,0.15067,0.00005,8192,1
D2H-Paged,0.27527,0.00006,16384,1
D2H-Paged,0.46400,0.00007,32768,1
D2H-Paged,0.69153,0.00009,65536,1
D2H-Paged,0.96511,0.00014,131072,1
D2H-Paged,1.35202,0.00019,262144,1
D2H-Paged,1.81289,0.00029,524288,1
D2H-Paged,2.00807,0.00052,1048576,1
D2H-Paged,2.25765,0.00093,2097152,1
D2H-Paged,2.44301,0.00172,4194304,1
D2H-Paged,2.54875,0.00329,8388608,1
D2H-Paged,2.64977,0.00633,16777216,1
D2H-Paged,2.65772,0.01263,33554432,1
D2H-Paged,2.58879,0.02592,67108864,1
D2H-Paged,2.55540,0.05252,134217728,1
D2H-Paged,2.41542,0.11113,268435456,1
D2H-Paged,2.41796,0.22203,536870912,1
D2H-Paged,2.42279,0.44318,1073741824,1
D2H-Paged,0.00125,0.00005,64,1
D2H-Paged,0.00263,0.00005,128,1
D2H-Paged,0.00543,0.00005,256,1
D2H-Paged,0.00995,0.00005,512,1
D2H-Paged,0.02115,0.00005,1024,1
