type,bw,lat,size,id
D2D,66.10050,0.00001,524288,1
D2D,140.77113,0.00001,1048576,1
D2D,284.06226,0.00001,2097152,1
D2D,589.02148,0.00001,4194304,1
D2D,808.40027,0.00001,8388608,1
D2D,2200.62549,0.00001,16777216,1
D2D,2447.97070,0.00001,33554432,1
D2D,2650.94849,0.00003,67108864,1
D2D,2762.92773,0.00005,134217728,1
D2D,2829.14819,0.00009,268435456,1
D2D,2833.87671,0.00019,536870912,1
D2D,2864.44092,0.00037,1073741824,1
D2D,0.00857,0.00001,64,1
D2D,0.01256,0.00001,128,1
D2D,0.03491,0.00001,256,1
D2D,0.07685,0.00001,512,1
D2D,0.13968,0.00001,1024,1
D2D,0.28832,0.00001,2048,1
D2D,0.57045,0.00001,4096,1
D2D,1.11856,0.00001,8192,1
D2D,2.31963,0.00001,16384,1
D2D,3.45590,0.00001,32768,1
D2D,9.35630,0.00001,65536,1
D2D,17.41163,0.00001,131072,1
D2D,30.28242,0.00001,262144,1
D2D,68.51790,0.00001,524288,1
D2D,147.55043,0.00001,1048576,1
D2D,298.97812,0.00001,2097152,1
D2D,486.74084,0.00001,4194304,1
D2D,1191.13049,0.00001,8388608,1
D2D,2345.12549,0.00001,16777216,1
D2D,2446.59985,0.00001,33554432,1
D2D,2651.98755,0.00003,67108864,1
D2D,2764.70337,0.00005,134217728,1
D2D,2830.64697,0.00009,268435456,1
D2D,2833.63037,0.00019,536870912,1
D2D,2862.20508,0.00038,1073741824,1
D2D,0.00997,0.00001,64,1
D2D,0.01754,0.00001,128,1
D2D,0.03547,0.00001,256,1
D2D,0.06630,0.00001,512,1
D2D,0.14481,0.00001,1024,1
D2D,0.27690,0.00001,2048,1
D2D,0.58218,0.00001,4096,1
D2D,0.85340,0.00001,8192,1
D2D,2.26228,0.00001,16384,1
D2D,4.31812,0.00001,32768,1
D2D,7.65536,0.00001,65536,1
D2D,15.07739,0.00001,131072,1
D2D,35.62049,0.00001,262144,1
D2D,68.72483,0.00001,524288,1
D2D,137.37476,0.00001,1048576,1
D2D,300.19009,0.00001,2097152,1
D2D,572.54181,0.00001,4194304,1
D2D,1090.99390,0.00001,8388608,1
D2D,2275.60498,0.00001,16777216,1
D2D,2448.51392,0.00001,33554432,1
D2D,2648.53784,0.00003,67108864,1
D2D,2763.57422,0.00005,134217728,1
D2D,2829.89258,0.00009,268435456,1
D2D,2834.28857,0.00019,536870912,1
D2D,2863.43848,0.00037,1073741824,1
D2D,0.00862,0.00001,64,1
D2D,0.01784,0.00001,128,1
D2D,0.03595,0.00001,256,1
D2D,0.06970,0.00001,512,1
D2D,0.13752,0.00001,1024,1
D2D,0.28811,0.00001,2048,1
D2D,0.41973,0.00001,4096,1
D2D,1.11732,0.00001,8192,1
D2D,2.26203,0.00001,16384,1
D2D,4.74943,0.00001,32768,1
D2D,8.76131,0.00001,65536,1
D2D,17.68452,0.00001,131072,1
D2D,38.93351,0.00001,262144,1
D2D,67.87638,0.00001,524288,1
D2D,79.75854,0.00001,1048576,1
D2D,295.20056,0.00001,2097152,1
D2D,628.71808,0.00001,4194304,1
D2D,1211.77832,0.00001,8388608,1
D2D,2101.35474,0.00001,16777216,1
D2D,2445.88672,0.00001,33554432,1
D2D,2647.08350,0.00003,67108864,1
D2D,2765.60571,0.00005,134217728,1
D2D,2830.02637,0.00009,268435456,1
D2D,2834.73877,0.00019,536870912,1
D2D,2863.57788,0.00037,1073741824,1
