size,bw
64,0.00298
128,0.00589
256,0.011767999999999999
512,0.023615
1024,0.046271
2048,0.09197999999999999
4096,0.177558
8192,0.325331
16384,0.596425
32768,0.9777290000000001
65536,1.4299469999999999
131072,1.947964
262144,2.275919
524288,2.5923279999999997
1048576,2.7431159999999997
2097152,2.85119
4194304,2.904202
8388608,2.908665
16777216,2.982666
33554432,2.981233
67108864,2.9543399999999997
134217728,2.833399
268435456,2.541993
536870912,2.3244599999999997
1073741824,2.33364
