type,bw,lat,size,id
H2D-Pinned,2.07624,0.00000,4096,1
H2D-Pinned,3.57992,0.00000,8192,1
H2D-Pinned,7.14884,0.00000,16384,1
H2D-Pinned,11.54323,0.00000,32768,1
H2D-Pinned,18.39411,0.00000,65536,1
H2D-Pinned,26.43945,0.00000,131072,1
H2D-Pinned,32.89035,0.00001,262144,1
H2D-Pinned,38.03333,0.00001,524288,1
H2D-Pinned,39.94344,0.00003,1048576,1
H2D-Pinned,41.48111,0.00005,2097152,1
H2D-Pinned,42.28197,0.00010,4194304,1
H2D-Pinned,42.67959,0.00020,8388608,1
H2D-Pinned,42.88283,0.00039,16777216,1
H2D-Pinned,42.98382,0.00078,33554432,1
H2D-Pinned,43.03667,0.00156,67108864,1
H2D-Pinned,43.06414,0.00312,134217728,1
H2D-Pinned,43.07656,0.00623,268435456,1
H2D-Pinned,43.08326,0.01246,536870912,1
H2D-Pinned,43.08684,0.02492,1073741824,1
H2D-Pinned,0.03243,0.00000,64,1
H2D-Pinned,0.06275,0.00000,128,1
H2D-Pinned,0.12964,0.00000,256,1
H2D-Pinned,0.25982,0.00000,512,1
H2D-Pinned,0.47267,0.00000,1024,1
H2D-Pinned,1.01830,0.00000,2048,1
H2D-Pinned,1.94352,0.00000,4096,1
H2D-Pinned,4.00313,0.00000,8192,1
H2D-Pinned,6.37292,0.00000,16384,1
H2D-Pinned,11.63636,0.00000,32768,1
H2D-Pinned,18.54065,0.00000,65536,1
H2D-Pinned,26.71014,0.00000,131072,1
H2D-Pinned,32.96181,0.00001,262144,1
H2D-Pinned,37.82611,0.00001,524288,1
H2D-Pinned,39.95757,0.00003,1048576,1
H2D-Pinned,41.55634,0.00005,2097152,1
H2D-Pinned,42.29780,0.00010,4194304,1
H2D-Pinned,42.68431,0.00020,8388608,1
H2D-Pinned,42.88939,0.00039,16777216,1
H2D-Pinned,42.98295,0.00078,33554432,1
H2D-Pinned,43.03649,0.00156,67108864,1
H2D-Pinned,43.06285,0.00312,134217728,1
H2D-Pinned,43.07721,0.00623,268435456,1
H2D-Pinned,43.08348,0.01246,536870912,1
H2D-Pinned,43.08722,0.02492,1073741824,1
H2D-Pinned,0.03608,0.00000,64,1
H2D-Pinned,0.07145,0.00000,128,1
H2D-Pinned,0.13812,0.00000,256,1
H2D-Pinned,0.29641,0.00000,512,1
H2D-Pinned,0.58759,0.00000,1024,1
H2D-Pinned,1.08530,0.00000,2048,1
H2D-Pinned,1.90306,0.00000,4096,1
H2D-Pinned,3.77081,0.00000,8192,1
H2D-Pinned,6.73418,0.00000,16384,1
H2D-Pinned,12.23125,0.00000,32768,1
H2D-Pinned,19.70178,0.00000,65536,1
H2D-Pinned,28.28534,0.00000,131072,1
H2D-Pinned,33.62200,0.00001,262144,1
H2D-Pinned,38.07134,0.00001,524288,1
H2D-Pinned,39.99365,0.00003,1048576,1
H2D-Pinned,41.59194,0.00005,2097152,1
H2D-Pinned,42.41964,0.00010,4194304,1
H2D-Pinned,42.73894,0.00020,8388608,1
H2D-Pinned,42.91459,0.00039,16777216,1
H2D-Pinned,42.99686,0.00078,33554432,1
H2D-Pinned,43.04269,0.00156,67108864,1
H2D-Pinned,43.06396,0.00312,134217728,1
H2D-Pinned,43.07553,0.00623,268435456,1
H2D-Pinned,43.08313,0.01246,536870912,1
H2D-Pinned,43.08706,0.02492,1073741824,1
H2D-Pinned,0.03054,0.00000,64,1
H2D-Pinned,0.06282,0.00000,128,1
H2D-Pinned,0.12878,0.00000,256,1
H2D-Pinned,0.23609,0.00000,512,1
H2D-Pinned,0.51069,0.00000,1024,1
H2D-Pinned,0.95423,0.00000,2048,1
H2D-Pinned,2.03789,0.00000,4096,1
H2D-Pinned,3.79935,0.00000,8192,1
H2D-Pinned,7.00123,0.00000,16384,1
H2D-Pinned,11.50950,0.00000,32768,1
H2D-Pinned,18.34797,0.00000,65536,1
H2D-Pinned,27.53058,0.00000,131072,1
H2D-Pinned,32.65566,0.00001,262144,1
H2D-Pinned,37.81214,0.00001,524288,1
