type,bw,lat,size,id
H2D-Paged,7.40102,0.00004,262144,1
H2D-Paged,8.77029,0.00006,524288,1
H2D-Paged,9.41440,0.00011,1048576,1
H2D-Paged,11.74875,0.00018,2097152,1
H2D-Paged,10.22777,0.00041,4194304,1
H2D-Paged,10.11809,0.00083,8388608,1
H2D-Paged,10.51896,0.00159,16777216,1
H2D-Paged,10.54352,0.00318,33554432,1
H2D-Paged,10.35834,0.00648,67108864,1
H2D-Paged,10.16569,0.01320,134217728,1
H2D-Paged,9.88122,0.02717,268435456,1
H2D-Paged,9.80699,0.05474,536870912,1
H2D-Paged,9.67100,0.11103,1073741824,1
H2D-Paged,0.00755,0.00001,64,1
H2D-Paged,0.01586,0.00001,128,1
H2D-Paged,0.02977,0.00001,256,1
H2D-Paged,0.05872,0.00001,512,1
H2D-Paged,0.12293,0.00001,1024,1
H2D-Paged,0.22756,0.00001,2048,1
H2D-Paged,0.44912,0.00001,4096,1
H2D-Paged,0.80157,0.00001,8192,1
H2D-Paged,1.36647,0.00001,16384,1
H2D-Paged,1.91179,0.00002,32768,1
H2D-Paged,3.21886,0.00002,65536,1
H2D-Paged,6.12200,0.00002,131072,1
H2D-Paged,7.71693,0.00003,262144,1
H2D-Paged,8.85471,0.00006,524288,1
H2D-Paged,9.72976,0.00011,1048576,1
H2D-Paged,9.57210,0.00022,2097152,1
H2D-Paged,10.14465,0.00041,4194304,1
H2D-Paged,10.54137,0.00080,8388608,1
H2D-Paged,10.58172,0.00159,16777216,1
H2D-Paged,10.54024,0.00318,33554432,1
H2D-Paged,10.45684,0.00642,67108864,1
H2D-Paged,10.13403,0.01324,134217728,1
H2D-Paged,10.06001,0.02668,268435456,1
H2D-Paged,9.85358,0.05448,536870912,1
H2D-Paged,9.90516,0.10840,1073741824,1
H2D-Paged,0.00771,0.00001,64,1
H2D-Paged,0.01522,0.00001,128,1
H2D-Paged,0.03062,0.00001,256,1
H2D-Paged,0.05947,0.00001,512,1
H2D-Paged,0.12367,0.00001,1024,1
H2D-Paged,0.22655,0.00001,2048,1
H2D-Paged,0.45011,0.00001,4096,1
H2D-Paged,0.80949,0.00001,8192,1
H2D-Paged,1.33638,0.00001,16384,1
H2D-Paged,1.98594,0.00002,32768,1
H2D-Paged,3.16599,0.00002,65536,1
H2D-Paged,5.97411,0.00002,131072,1
H2D-Paged,7.27975,0.00004,262144,1
H2D-Paged,8.82788,0.00006,524288,1
H2D-Paged,9.45004,0.00011,1048576,1
H2D-Paged,9.63499,0.00022,2097152,1
H2D-Paged,10.16111,0.00041,4194304,1
H2D-Paged,10.48720,0.00080,8388608,1
H2D-Paged,10.27506,0.00163,16777216,1
H2D-Paged,10.43239,0.00322,33554432,1
H2D-Paged,10.51812,0.00638,67108864,1
H2D-Paged,10.14936,0.01322,134217728,1
H2D-Paged,10.04908,0.02671,268435456,1
H2D-Paged,9.82868,0.05462,536870912,1
H2D-Paged,9.84209,0.10910,1073741824,1
H2D-Paged,0.00770,0.00001,64,1
H2D-Paged,0.01526,0.00001,128,1
H2D-Paged,0.02565,0.00001,256,1
H2D-Paged,0.04763,0.00001,512,1
H2D-Paged,0.10199,0.00001,1024,1
H2D-Paged,0.20750,0.00001,2048,1
H2D-Paged,0.36025,0.00001,4096,1
H2D-Paged,0.78921,0.00001,8192,1
H2D-Paged,1.00763,0.00002,16384,1
H2D-Paged,1.75230,0.00002,32768,1
H2D-Paged,2.77225,0.00002,65536,1
H2D-Paged,5.47045,0.00002,131072,1
H2D-Paged,6.67203,0.00004,262144,1
H2D-Paged,6.98957,0.00008,524288,1
H2D-Paged,7.95159,0.00013,1048576,1
H2D-Paged,9.96508,0.00021,2097152,1
H2D-Paged,8.54185,0.00049,4194304,1
H2D-Paged,9.30599,0.00090,8388608,1
H2D-Paged,10.35011,0.00162,16777216,1
H2D-Paged,10.48327,0.00320,33554432,1
H2D-Paged,10.47993,0.00640,67108864,1
H2D-Paged,10.26797,0.01307,134217728,1
H2D-Paged,10.09265,0.02660,268435456,1
H2D-Paged,9.94153,0.05400,536870912,1
H2D-Paged,9.88548,0.10862,1073741824,1
H2D-Paged,0.00786,0.00001,64,1
H2D-Paged,0.01535,0.00001,128,1
H2D-Paged,0.03055,0.00001,256,1
H2D-Paged,0.05851,0.00001,512,1
H2D-Paged,0.12473,0.00001,1024,1
H2D-Paged,0.22580,0.00001,2048,1
H2D-Paged,0.39575,0.00001,4096,1
H2D-Paged,0.79303,0.00001,8192,1
H2D-Paged,1.37912,0.00001,16384,1
H2D-Paged,1.83471,0.00002,32768,1
H2D-Paged,3.10450,0.00002,65536,1
H2D-Paged,5.70374,0.00002,131072,1
H2D-Paged,7.20374,0.00004,262144,1
H2D-Paged,8.44672,0.00006,524288,1
H2D-Paged,9.77693,0.00011,1048576,1
H2D-Paged,9.51175,0.00022,2097152,1
H2D-Paged,10.08343,0.00042,4194304,1
H2D-Paged,10.54733,0.00080,8388608,1
H2D-Paged,10.98431,0.00153,16777216,1
H2D-Paged,10.66046,0.00315,33554432,1
H2D-Paged,10.37876,0.00647,67108864,1
H2D-Paged,10.24333,0.01310,134217728,1
H2D-Paged,10.06694,0.02667,268435456,1
H2D-Paged,9.93888,0.05402,536870912,1
H2D-Paged,9.82649,0.10927,1073741824,1
