size,bw
64,0.005296
128,0.010924
256,0.021816
512,0.043822
1024,0.086974
2048,0.169666
4096,0.335675
8192,0.652113
16384,1.217092
32768,2.113507
65536,3.5255789999999996
131072,5.132880999999999
262144,6.565340999999999
524288,7.994956999999999
1048576,8.783187999999999
2097152,9.49869
4194304,11.118259
8388608,12.132671
16777216,12.33415
33554432,12.551446
67108864,12.807937
134217728,12.783808
268435456,12.853665000000001
536870912,13.202849
1073741824,12.956948
