type,bw,lat,size,id
D2H-Pinned,39.17040,0.00003,1048576,1
D2H-Pinned,41.32730,0.00005,2097152,1
D2H-Pinned,41.72992,0.00010,4194304,1
D2H-Pinned,40.66430,0.00021,8388608,1
D2H-Pinned,39.62294,0.00042,16777216,1
D2H-Pinned,39.01683,0.00086,33554432,1
D2H-Pinned,38.99884,0.00172,67108864,1
D2H-Pinned,39.00183,0.00344,134217728,1
D2H-Pinned,38.96405,0.00689,268435456,1
D2H-Pinned,38.97869,0.01377,536870912,1
D2H-Pinned,38.94848,0.02757,1073741824,1
D2H-Pinned,0.03375,0.00000,64,1
D2H-Pinned,0.06788,0.00000,128,1
D2H-Pinned,0.13454,0.00000,256,1
D2H-Pinned,0.27073,0.00000,512,1
D2H-Pinned,0.54293,0.00000,1024,1
D2H-Pinned,1.07926,0.00000,2048,1
D2H-Pinned,2.19328,0.00000,4096,1
D2H-Pinned,3.90601,0.00000,8192,1
D2H-Pinned,8.65157,0.00000,16384,1
D2H-Pinned,16.39187,0.00000,32768,1
D2H-Pinned,21.61021,0.00000,65536,1
D2H-Pinned,27.75820,0.00000,131072,1
D2H-Pinned,33.31300,0.00001,262144,1
D2H-Pinned,37.35267,0.00001,524288,1
D2H-Pinned,39.10636,0.00003,1048576,1
D2H-Pinned,41.42316,0.00005,2097152,1
D2H-Pinned,42.13978,0.00010,4194304,1
D2H-Pinned,40.15976,0.00021,8388608,1
D2H-Pinned,39.26954,0.00043,16777216,1
D2H-Pinned,39.05828,0.00086,33554432,1
D2H-Pinned,39.02893,0.00172,67108864,1
D2H-Pinned,38.98731,0.00344,134217728,1
D2H-Pinned,38.96195,0.00689,268435456,1
D2H-Pinned,38.94885,0.01378,536870912,1
D2H-Pinned,38.97318,0.02755,1073741824,1
D2H-Pinned,0.03384,0.00000,64,1
D2H-Pinned,0.06828,0.00000,128,1
D2H-Pinned,0.13807,0.00000,256,1
D2H-Pinned,0.26913,0.00000,512,1
D2H-Pinned,0.54237,0.00000,1024,1
D2H-Pinned,1.09327,0.00000,2048,1
D2H-Pinned,2.12660,0.00000,4096,1
D2H-Pinned,4.37532,0.00000,8192,1
D2H-Pinned,8.68827,0.00000,16384,1
D2H-Pinned,15.42401,0.00000,32768,1
D2H-Pinned,21.99549,0.00000,65536,1
D2H-Pinned,27.80531,0.00000,131072,1
D2H-Pinned,33.32384,0.00001,262144,1
D2H-Pinned,37.60645,0.00001,524288,1
D2H-Pinned,39.41920,0.00003,1048576,1
D2H-Pinned,41.22254,0.00005,2097152,1
D2H-Pinned,41.59207,0.00010,4194304,1
D2H-Pinned,40.32687,0.00021,8388608,1
D2H-Pinned,39.64134,0.00042,16777216,1
D2H-Pinned,39.03704,0.00086,33554432,1
D2H-Pinned,39.04527,0.00172,67108864,1
D2H-Pinned,39.00585,0.00344,134217728,1
D2H-Pinned,38.97104,0.00689,268435456,1
D2H-Pinned,38.97536,0.01377,536870912,1
D2H-Pinned,38.91600,0.02759,1073741824,1
D2H-Pinned,0.03038,0.00000,64,1
D2H-Pinned,0.06746,0.00000,128,1
D2H-Pinned,0.13706,0.00000,256,1
D2H-Pinned,0.26596,0.00000,512,1
D2H-Pinned,0.54570,0.00000,1024,1
D2H-Pinned,1.08438,0.00000,2048,1
D2H-Pinned,2.20348,0.00000,4096,1
D2H-Pinned,4.33825,0.00000,8192,1
D2H-Pinned,8.77915,0.00000,16384,1
D2H-Pinned,16.29795,0.00000,32768,1
D2H-Pinned,21.94835,0.00000,65536,1
D2H-Pinned,27.80720,0.00000,131072,1
D2H-Pinned,33.34554,0.00001,262144,1
D2H-Pinned,37.32374,0.00001,524288,1
D2H-Pinned,39.24311,0.00003,1048576,1
D2H-Pinned,41.29006,0.00005,2097152,1
D2H-Pinned,40.42575,0.00010,4194304,1
D2H-Pinned,40.23872,0.00021,8388608,1
D2H-Pinned,39.35596,0.00043,16777216,1
D2H-Pinned,39.02274,0.00086,33554432,1
D2H-Pinned,39.05110,0.00172,67108864,1
D2H-Pinned,39.01050,0.00344,134217728,1
D2H-Pinned,38.98818,0.00689,268435456,1
D2H-Pinned,38.93682,0.01379,536870912,1
D2H-Pinned,38.97867,0.02755,1073741824,1
D2H-Pinned,0.03342,0.00000,64,1
D2H-Pinned,0.06957,0.00000,128,1
D2H-Pinned,0.12739,0.00000,256,1
D2H-Pinned,0.27322,0.00000,512,1
D2H-Pinned,0.54256,0.00000,1024,1
D2H-Pinned,1.06154,0.00000,2048,1
D2H-Pinned,2.22222,0.00000,4096,1
D2H-Pinned,4.01380,0.00000,8192,1
D2H-Pinned,8.91365,0.00000,16384,1
D2H-Pinned,16.41289,0.00000,32768,1
D2H-Pinned,21.98132,0.00000,65536,1
D2H-Pinned,27.77891,0.00000,131072,1
D2H-Pinned,33.33062,0.00001,262144,1
D2H-Pinned,37.34926,0.00001,524288,1
D2H-Pinned,39.09423,0.00003,1048576,1
D2H-Pinned,41.37766,0.00005,2097152,1
D2H-Pinned,41.57268,0.00010,4194304,1
D2H-Pinned,40.60094,0.00021,8388608,1
D2H-Pinned,39.18557,0.00043,16777216,1
D2H-Pinned,39.04828,0.00086,33554432,1
D2H-Pinned,39.06134,0.00172,67108864,1
D2H-Pinned,39.01692,0.00344,134217728,1
D2H-Pinned,39.01571,0.00688,268435456,1
D2H-Pinned,38.96604,0.01378,536870912,1
D2H-Pinned,38.96265,0.02756,1073741824,1
D2H-Pinned,0.03236,0.00000,64,1
D2H-Pinned,0.06888,0.00000,128,1
D2H-Pinned,0.13527,0.00000,256,1
D2H-Pinned,0.25425,0.00000,512,1
D2H-Pinned,0.53791,0.00000,1024,1
D2H-Pinned,1.09533,0.00000,2048,1
D2H-Pinned,2.19667,0.00000,4096,1
D2H-Pinned,4.38882,0.00000,8192,1
D2H-Pinned,8.84589,0.00000,16384,1
D2H-Pinned,16.42605,0.00000,32768,1
D2H-Pinned,21.97189,0.00000,65536,1
D2H-Pinned,27.37602,0.00000,131072,1
D2H-Pinned,33.00963,0.00001,262144,1
D2H-Pinned,37.58488,0.00001,524288,1
D2H-Pinned,39.25769,0.00003,1048576,1
D2H-Pinned,41.28148,0.00005,2097152,1
D2H-Pinned,41.93552,0.00010,4194304,1
D2H-Pinned,39.73667,0.00021,8388608,1
D2H-Pinned,39.37840,0.00043,16777216,1
D2H-Pinned,39.01670,0.00086,33554432,1
D2H-Pinned,39.06502,0.00172,67108864,1
D2H-Pinned,39.09032,0.00343,134217728,1
D2H-Pinned,38.99937,0.00688,268435456,1
D2H-Pinned,38.94347,0.01379,536870912,1
D2H-Pinned,38.98225,0.02754,1073741824,1
