type,bw,lat,size,id
D2H-Paged,5.93758,0.00004,262144,1
D2H-Paged,8.08588,0.00006,524288,1
D2H-Paged,9.04959,0.00012,1048576,1
D2H-Paged,9.15947,0.00023,2097152,1
D2H-Paged,11.58136,0.00036,4194304,1
D2H-Paged,11.81877,0.00071,8388608,1
D2H-Paged,13.16263,0.00127,16777216,1
D2H-Paged,12.84798,0.00261,33554432,1
D2H-Paged,12.62598,0.00532,67108864,1
D2H-Paged,13.17336,0.01019,134217728,1
D2H-Paged,13.40926,0.02002,268435456,1
D2H-Paged,13.35382,0.04020,536870912,1
D2H-Paged,12.60382,0.08519,1073741824,1
D2H-Paged,0.00558,0.00001,64,1
D2H-Paged,0.01127,0.00001,128,1
D2H-Paged,0.02164,0.00001,256,1
D2H-Paged,0.04372,0.00001,512,1
D2H-Paged,0.08828,0.00001,1024,1
D2H-Paged,0.16623,0.00001,2048,1
D2H-Paged,0.33355,0.00001,4096,1
D2H-Paged,0.67983,0.00001,8192,1
D2H-Paged,1.23560,0.00001,16384,1
D2H-Paged,2.17872,0.00002,32768,1
D2H-Paged,3.54440,0.00002,65536,1
D2H-Paged,5.11201,0.00003,131072,1
D2H-Paged,6.83023,0.00004,262144,1
D2H-Paged,7.96307,0.00007,524288,1
D2H-Paged,9.06132,0.00012,1048576,1
D2H-Paged,9.54553,0.00022,2097152,1
D2H-Paged,10.12115,0.00041,4194304,1
D2H-Paged,13.00257,0.00065,8388608,1
D2H-Paged,13.33579,0.00126,16777216,1
D2H-Paged,11.28002,0.00297,33554432,1
D2H-Paged,13.50801,0.00497,67108864,1
D2H-Paged,13.52256,0.00993,134217728,1
D2H-Paged,13.21936,0.02031,268435456,1
D2H-Paged,13.43135,0.03997,536870912,1
D2H-Paged,13.68088,0.07848,1073741824,1
D2H-Paged,0.00523,0.00001,64,1
D2H-Paged,0.01056,0.00001,128,1
D2H-Paged,0.02159,0.00001,256,1
D2H-Paged,0.04406,0.00001,512,1
D2H-Paged,0.08512,0.00001,1024,1
D2H-Paged,0.16996,0.00001,2048,1
D2H-Paged,0.32742,0.00001,4096,1
D2H-Paged,0.63652,0.00001,8192,1
D2H-Paged,1.17532,0.00001,16384,1
D2H-Paged,2.15579,0.00002,32768,1
D2H-Paged,3.53675,0.00002,65536,1
