size,bw
64,0.007374
128,0.015256
256,0.029635
512,0.058602
1024,0.11840200000000001
2048,0.22956500000000002
4096,0.425467
8192,0.789282
16384,1.302434
32768,1.9402300000000001
65536,3.100917
131072,5.793249
262144,7.448856999999999
524288,8.524555
1048576,9.39292
2097152,9.971174
4194304,10.076153
8388608,10.199689000000001
16777216,10.504556
33554432,10.555855
67108864,10.414392
134217728,10.193571
268435456,9.993617
536870912,9.875566000000001
1073741824,9.791295999999999
