API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
295980587,1162047475,1458028062,1883,1458029945,102402583,1264451941,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458030786,16678,1458047464,102386280,1560433744,102402775,204805733,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458048044,11605,1458059649,204778182,1662837831,102402679,307192466,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458060118,10327,1458070445,307171409,1765241854,102402647,409584383,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458070880,11759,1458082639,409563142,1867645781,102402711,511977612,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458083024,10377,1458093401,511956339,1970049740,102402743,614369459,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458093774,11064,1458104838,614348893,2072453731,102402741,716762698,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458105228,10127,1458115355,716742397,2174857752,102402710,819155234,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458115784,10666,1458126450,819135420,2277261870,102402582,921548668,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458126826,10526,1458137352,921528700,2379666052,102402390,1023941616,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458137727,10107,1458147834,1023922144,2482069978,102402454,1126334705,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458148214,12988,1458161202,1126312734,2584473936,102402486,1228728208,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458161815,10686,1458172501,1228705425,2686877926,102402486,1331118597,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458173000,10206,1458183206,1331098646,2789281852,102402549,1433511401,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458183622,9949,1458193571,1433492239,2891685810,102402582,1535904770,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458193974,9968,1458203942,1535885825,2994089767,102402614,1638298407,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458204329,12465,1458216794,1638277187,3096493981,102402390,1740692042,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458217240,10528,1458227768,1740670107,3198897875,102402486,1843083121,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458228172,9945,1458238117,1843063620,3301301737,102402614,1945476179,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458238551,10080,1458248631,1945457096,3403705727,102402614,2047869790,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458249007,9991,1458258998,2047850751,3506109749,102402582,2150263324,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458259385,9912,1458269297,2150244474,3608513771,102402550,2252656936,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458269689,13882,1458283571,2252634158,3710917729,102402581,2355050621,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458284016,10126,1458294142,2355027736,3813321878,102402422,2457440284,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458294533,10201,1458304734,2457421103,3915725837,102402454,2559833758,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458305159,9950,1458315109,2559814589,4018129698,102402583,2662227122,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458315502,9878,1458325380,2662208341,4120533721,102402551,2764620770,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458325803,10220,1458336023,2764601753,4222937776,102402487,2867014460,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458336409,9923,1458346332,2866995435,4325341767,102402488,2969407846,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458346732,10256,1458356988,2969388802,4427745790,102402456,3071801514,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458357354,9981,1458367335,3071782319,4530149654,102402583,3174194883,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458367719,10052,1458377771,3174175842,4632553613,102402615,3276588509,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458378141,10417,1458388558,3276569174,4734957732,102402487,3378982078,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458388936,11880,1458400816,3378960843,4837361659,102402551,3481375274,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1458401225,10227,1458411452,3481354103,4939765555,102402647,3583766977,3657,3657,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
