Backend	Model	batch_size	input_length	CC_mode	load_time	gen_time	ttft	thruput	real
hf	nonquant	128	1024	off	2.369682746	34.58696423	0.051537863	473.7044827	555.1224407
hf	nonquant	128	1024	on	2.562757212	34.70653109	0.052429063	472.0725318	553.2099981
hf	quant	1	128	off	1.363786469	4.187061172	1.540682017	0.238830998	35.82464976
hf	quant	1	128	on	1.52468107	13.37678981	1.716364348	0.074756351	11.21345271
hf	quant	1	256	off	1.372060769	3.576164972	1.540741921	0.279629158	41.9443737
hf	quant	1	256	on	1.511053814	13.55581222	1.712605757	0.073769095	11.06536426
hf	quant	1	512	off	1.356651476	0.456220108	1.536753768	2.19192443	328.7886644
hf	quant	1	512	on	1.505775557	1.961046165	1.695078876	0.509931902	76.48978524
hf	quant	1	1024	off	1.353720945	3.456092929	1.558463977	0.289344072	43.40161074
hf	quant	1	1024	on	1.505660466	10.44007249	1.716970405	0.095784776	14.36771633
hf	quant	2	128	off	1.368181282	10.22634065	0.776837378	0.391146759	29.33600691
hf	quant	2	128	on	1.505597616	13.47707488	0.860185647	0.29680031	22.26002324
hf	quant	2	256	off	1.364184783	10.34253273	0.7785467	0.386752462	29.00643467
hf	quant	2	256	on	1.513635849	13.63222128	0.865455853	0.293422467	22.00668503
hf	quant	2	512	off	1.366627544	10.20649696	0.787694832	0.391907235	29.39304261
hf	quant	2	512	on	1.500665382	13.32919304	0.868598803	0.300093186	22.50698892
hf	quant	2	1024	off	1.354978393	10.25040017	0.783197686	0.390228668	29.26715006
hf	quant	2	1024	on	1.501230235	13.33807431	0.863646348	0.299893366	22.49200245
hf	quant	4	128	off	1.366296391	10.37277663	0.391141915	1.542499233	57.84372125
hf	quant	4	128	on	1.509671972	13.37780626	0.430279684	1.196010743	44.85040285
hf	quant	4	256	off	1.366872387	10.34843835	0.392767304	1.546127006	57.97976271
hf	quant	4	256	on	1.513456709	13.43412904	0.435828285	1.190996451	44.66236689
hf	quant	4	512	off	1.350118442	10.27417139	0.392378313	1.557303202	58.39887006
hf	quant	4	512	on	1.496762229	13.16990334	0.433185881	1.214891225	45.55842093
hf	quant	4	1024	off	1.370135384	10.36495258	0.417269676	1.543663598	57.88738495
hf	quant	4	1024	on	1.500212207	13.45557078	0.449770074	1.189098572	44.59119645
hf	quant	8	128	off	1.365373927	10.10870562	0.198503023	6.33117655	118.7095604
hf	quant	8	128	on	1.521607595	13.34822354	0.218551089	4.794645505	89.89960322
hf	quant	8	256	off	1.354579512	10.09152263	0.195474603	6.341956746	118.9116889
hf	quant	8	256	on	1.505024322	13.27009308	0.217774693	4.822874988	90.42890602
hf	quant	8	512	off	1.367764706	10.27960819	0.207420617	6.225918226	116.7359668
hf	quant	8	512	on	1.527121547	13.30597977	0.225068978	4.809867525	90.18501612
hf	quant	8	1024	off	1.35718338	10.44569655	0.229825934	6.126925066	114.8798449
hf	quant	8	1024	on	1.514166311	13.37485124	0.246221585	4.785099951	89.72062406
hf	quant	16	128	off	1.359994117	10.1965806	0.09829517	25.10645578	235.373023
hf	quant	16	128	on	1.501484651	13.30157881	0.108706548	19.24583568	180.4297095
hf	quant	16	256	off	1.35950614	10.24816164	0.103468001	24.98009	234.1883437
hf	quant	16	256	on	1.491668321	13.48005567	0.112944258	18.99101949	178.0408077
hf	quant	16	512	off	1.365735829	10.46985556	0.113360519	24.45114917	229.2295234
hf	quant	16	512	on	1.515303132	13.50226928	0.124030228	18.95977593	177.7478993
hf	quant	16	1024	off	1.367270388	10.81255873	0.134124276	23.67617197	221.9641123
hf	quant	16	1024	on	1.529908905	13.6581258	0.143807751	18.74342086	175.7195705
hf	quant	32	128	off	1.354599666	10.20853081	0.051917088	100.3082637	470.1949859
hf	quant	32	128	on	1.495395137	13.47218997	0.056215077	76.00842939	356.2895127
hf	quant	32	256	off	1.362447076	10.45354871	0.056575759	97.95716535	459.1742128
hf	quant	32	256	on	1.500327831	13.45379077	0.060906743	76.11237738	356.7767689
hf	quant	32	512	off	1.364433675	10.75075403	0.066822921	95.24913293	446.4803107
hf	quant	32	512	on	1.527545174	13.81220968	0.071550304	74.13730487	347.5186166
hf	quant	32	1024	off	1.350833836	11.56838328	0.09120591	88.51712251	414.9240118
hf	quant	32	1024	on	1.513082037	14.90421195	0.095536015	68.70541048	322.0566117
hf	quant	64	128	off	1.35423959	10.52484097	0.028245365	389.1745263	912.1277963
hf	quant	64	128	on	1.503050231	13.6420285	0.03072745	300.2486031	703.7076634
hf	quant	64	256	off	1.358552746	10.84170289	0.033460173	377.8004287	885.4697548
hf	quant	64	256	on	1.528050475	13.70396339	0.035657517	298.8916333	700.5272655
hf	quant	64	512	off	1.372298173	12.40317623	0.045218114	330.2379909	773.9952914
hf	quant	64	512	on	1.517416536	14.46391973	0.047703765	283.1874124	663.7204976
hf	quant	64	1024	off	1.366489475	20.00176759	0.069390767	204.7819015	479.9575816
hf	quant	64	1024	on	1.494367454	20.07434973	0.071470109	204.0414786	478.2222154
hf	quant	128	128	off	1.356827995	12.31807506	0.016791951	1330.077948	1558.685095
hf	quant	128	128	on	1.518607224	13.74629984	0.017903685	1191.884376	1396.739503
hf	quant	128	256	off	1.372817725	16.12864371	0.022661026	1015.832472	1190.428677
hf	quant	128	256	on	1.501818248	16.23180404	0.0237329	1009.376404	1182.862974
hf	quant	128	512	off	1.369808015	23.78761751	0.03436549	688.7617054	807.1426233
hf	quant	128	512	on	1.504086047	23.84073738	0.035512808	687.227066	805.3442179
hf	quant	128	1024	off	1.354872885	39.40570502	0.058959552	415.7773599	487.2390937
hf	quant	128	1024	on	1.510341017	39.42660053	0.060193108	415.5570041	486.9808642
vllm	nonquant	1	128	off	22.75100489	1.240157326	0.040677475	0.806349307	120.952396
vllm	nonquant	1	128	on	29.12885756	1.398559222	0.05151918	0.715021562	107.2532344
vllm	nonquant	1	256	off	22.74806306	1.246101725	0.042004806	0.802502701	120.3754051
vllm	nonquant	1	256	on	29.14519835	1.400338589	0.053533435	0.714113007	107.116951
vllm	nonquant	1	512	off	22.84039746	1.249871312	0.042597792	0.800082369	120.0123553
vllm	nonquant	1	512	on	29.41094217	1.404356716	0.054304832	0.712069796	106.8104694
vllm	nonquant	1	1024	off	22.87914843	1.278076885	0.062461453	0.782425542	117.3638314
vllm	nonquant	1	1024	on	29.21190289	1.423318079	0.06734909	0.702583642	105.3875463
vllm	nonquant	2	128	off	23.00593751	1.25104571	0.043006106	3.19732522	239.7993915
vllm	nonquant	2	128	on	29.20236813	1.404375707	0.055488476	2.848240667	213.61805
vllm	nonquant	2	256	off	22.63131636	1.245717911	0.043971328	3.21099983	240.8249872
vllm	nonquant	2	256	on	28.95774965	1.39974844	0.05681737	2.857656337	214.3242253
vllm	nonquant	2	512	off	23.15956348	1.273306034	0.061950125	3.141428606	235.6071455
vllm	nonquant	2	512	on	28.97545708	1.419765865	0.069528958	2.817365946	211.302446
vllm	nonquant	2	1024	off	22.89672953	1.324113101	0.104543857	3.020889981	226.5667485
vllm	nonquant	2	1024	on	29.12690209	1.464991357	0.110310355	2.730391535	204.7793651
vllm	nonquant	4	128	off	23.08140709	1.275702349	0.044765767	12.54211064	470.3291489
vllm	nonquant	4	128	on	29.35138638	1.438676815	0.056202367	11.12133026	417.0498848
vllm	nonquant	4	256	off	23.37067267	1.303372858	0.063674381	12.27584256	460.3440959
vllm	nonquant	4	256	on	29.07018845	1.435880293	0.068457423	11.14299018	417.8621316
vllm	nonquant	4	512	off	22.84150635	1.335141328	0.1049389	11.98375008	449.3906281
vllm	nonquant	4	512	on	29.09429025	1.480867167	0.109042183	10.80448021	405.1680079
vllm	nonquant	4	1024	off	22.76639625	1.446396769	0.196547581	11.06197161	414.8239355
vllm	nonquant	4	1024	on	29.51797534	1.58373172	0.199686018	10.10272119	378.8520445
vllm	nonquant	8	128	off	23.01961897	1.56818581	0.064418318	40.81149032	765.2154434
vllm	nonquant	8	128	on	29.00234419	1.49512844	0.069202079	42.80568698	802.6066309
vllm	nonquant	8	256	off	22.94017351	1.607118346	0.104934734	39.82282958	746.6780545
vllm	nonquant	8	256	on	29.22088129	1.535739817	0.110559035	41.67372578	781.3823583
vllm	nonquant	8	512	off	23.08292159	1.719475946	0.195090742	37.22064281	697.8870526
