API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
203114116,177574139,,,380685213,1638433206,1816004303,2290,2290,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380691101,8525,380699626,1638419881,2019119507,1638433142,3276861548,2290,2290,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380700061,5511,380705572,3276848101,3657553673,1638433223,4915286835,2290,2290,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380705873,4537,380710410,4915277606,5295988016,1638433145,6553715288,2290,2290,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380710702,6519,380717221,6553705060,6934422281,1638433159,8192144738,2290,2290,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380717492,3976,380721468,8192134996,8572856464,1638433263,9830572235,2290,2290,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380721761,4932,380726693,9830564122,10211290815,1638433210,11469002264,2290,2290,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
380726926,5089,380732015,11468993130,11849725145,1638433203,13107431422,2290,2290,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
