API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
1387802834,10165,1387812999,9215712757,10603525756,204804241,9420527163,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387813512,9866,1387823378,9420508123,10808331501,204804145,9625322134,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387823773,10114,1387833887,9625303231,11013137118,204804176,9830117521,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387834291,9843,1387844134,9830098696,11217942830,204804113,10034912652,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387844530,10245,1387854775,10034893576,11422748351,204804241,10239708062,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387855170,9964,1387865134,10239688834,11627553968,204804273,10444503071,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387865545,10176,1387875721,10444484056,11832359777,204804112,10649298344,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387876123,10269,1387886392,10649278905,12037165297,204804244,10854093418,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387886783,9964,1387896747,10854074362,12241971109,204804084,11058888410,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387897144,11956,1387909100,11058867565,12446776665,204804180,11263683701,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387909536,9883,1387919419,11263662994,12651582413,204804084,11468476961,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387919814,10296,1387930110,11468457892,12856388002,204804148,11673272336,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387930512,10002,1387940514,11673253044,13061193558,204804244,11878067290,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387940931,9905,1387950836,11878048438,13265999274,204804180,12082862523,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387951234,9926,1387961160,12082843670,13470804830,204804276,12287657872,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387961560,10006,1387971566,12287639108,13675610674,204804085,12492453199,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387971967,10338,1387982305,12492433990,13880416295,204804116,12697248444,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387982707,9988,1387992695,12697229220,14085221915,204804147,12902043355,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
1387993077,9936,1388003013,12902024489,14290027502,204804212,13106838637,2102,2102,0,cudaLaunchKernel,  32    1    1,   1    1    1,foo()
