Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
75.4,185468105,4,46367026.3,57647.0,40602,185312209,92630123.1,cudaMallocManaged
20.4,50188784,1500,33459.2,24648.5,2295,9029493,260439.8,cudaDeviceSynchronize
3.3,8017972,1500,5345.3,4877.5,3553,310064,8307.4,cudaLaunchKernel
0.6,1480211,1,1480211.0,1480211.0,1480211,1480211,0.0,cudaGetDeviceProperties_v2_v12000
0.3,778091,4,194522.8,211180.5,120765,234965,51058.7,cudaFree
0.0,3928,1,3928.0,3928.0,3928,3928,0.0,cuModuleGetLoadingMode
