Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
60.0,1862296848,6144,303108.2,40773.0,6507,59598529,1080431.2,cudaDeviceSynchronize
37.4,1158935202,3,386311734.0,52087.0,14692,1158868423,669053718.8,cudaMallocManaged
2.4,73364721,6144,11940.9,11118.0,9367,419082,6148.2,cudaLaunchKernel
0.2,5774225,1,5774225.0,5774225.0,5774225,5774225,0.0,cudaGetDeviceProperties_v2_v12000
0.1,2348773,3,782924.3,741117.0,717591,890065,93529.2,cudaFree
0.0,3965,1,3965.0,3965.0,3965,3965,0.0,cuModuleGetLoadingMode
