Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
88.4,1214078341,3,404692780.3,14899183.0,14821141,1184358017,675209902.5,cudaMallocHost
6.4,88144545,3,29381515.0,26074239.0,26070903,35999403,5731259.4,cudaMemcpy
4.1,55876030,254,219984.4,11657.0,10519,52788673,3311491.1,cudaLaunchKernel
0.7,9966964,5,1993392.8,3119761.0,134163,3254509,1630185.0,cudaFree
0.4,5693533,1,5693533.0,5693533.0,5693533,5693533,0.0,cudaGetDeviceProperties_v2_v12000
0.0,257120,2,128560.0,128560.0,77872,179248,71683.7,cudaMalloc
0.0,27047,1,27047.0,27047.0,27047,27047,0.0,cudaDeviceSynchronize
0.0,6194,1,6194.0,6194.0,6194,6194,0.0,cuModuleGetLoadingMode
