Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
3986225962,1664,28144,,,,,,,,,,0.524,315081.448,Device,,NVIDIA H100 NVL (0),1,,7,[CUDA memset]
3986326124,31265,28149,128,1,1,512,1,1,32,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"kernel_compute_cost(int, int, long, Point *, int, int, float *, float *, int *, bool *)"
3986467983,15072,28156,,,,,,,,,,0.524,34785.991,Device,Pageable,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Host]
3986674771,3391,28157,,,,,,,,,,0.066,19326.435,Device,Pageable,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Host]
3987430144,16256,28182,,,,,,,,,,0.262,16125.788,Managed,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Device]
3987874088,392711,28183,,,,,,,,,,2.097,5339.349,Managed,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Device]
3988306896,1728,28184,,,,,,,,,,0.066,37925.880,Device,,NVIDIA H100 NVL (0),1,,7,[CUDA memset]
3988320944,1664,28185,,,,,,,,,,0.524,315081.448,Device,,NVIDIA H100 NVL (0),1,,7,[CUDA memset]
3988419890,31585,28190,128,1,1,512,1,1,32,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"kernel_compute_cost(int, int, long, Point *, int, int, float *, float *, int *, bool *)"
3988559284,15073,28197,,,,,,,,,,0.524,34783.370,Device,Pageable,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Host]
3988765880,3712,28198,,,,,,,,,,0.066,17655.136,Device,Pageable,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Host]
3989539590,16256,28223,,,,,,,,,,0.262,16125.788,Managed,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Device]
3989946446,395654,28224,,,,,,,,,,2.097,5299.503,Managed,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Device]
3990380981,1536,28225,,,,,,,,,,0.066,42666.623,Device,,NVIDIA H100 NVL (0),1,,7,[CUDA memset]
3990395413,1728,28226,,,,,,,,,,0.524,303411.668,Device,,NVIDIA H100 NVL (0),1,,7,[CUDA memset]
3990493975,31617,28231,128,1,1,512,1,1,32,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"kernel_compute_cost(int, int, long, Point *, int, int, float *, float *, int *, bool *)"
3990635226,15072,28238,,,,,,,,,,0.524,34785.991,Device,Pageable,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Host]
3990841245,3201,28239,,,,,,,,,,0.066,20473.577,Device,Pageable,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Host]
3991670764,16065,28264,,,,,,,,,,0.262,16317.678,Managed,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Device]
3992043283,392136,28265,,,,,,,,,,2.097,5347.738,Managed,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Device]
3992472507,1568,28266,,,,,,,,,,0.066,41795.912,Device,,NVIDIA H100 NVL (0),1,,7,[CUDA memset]
3992486364,1695,28267,,,,,,,,,,0.524,309318.911,Device,,NVIDIA H100 NVL (0),1,,7,[CUDA memset]
3992587229,31072,28272,128,1,1,512,1,1,32,0.000,0.000,,,,,NVIDIA H100 NVL (0),1,,7,"kernel_compute_cost(int, int, long, Point *, int, int, float *, float *, int *, bool *)"
3992727200,15072,28279,,,,,,,,,,0.524,34785.991,Device,Pageable,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Host]
3992960420,3424,28280,,,,,,,,,,0.066,19140.182,Device,Pageable,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Host]
3993757234,16320,28305,,,,,,,,,,0.262,16062.611,Managed,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Device]
3994125113,394791,28306,,,,,,,,,,2.097,5309.989,Managed,Device,NVIDIA H100 NVL (0),1,,7,[CUDA memcpy Device-to-Device]
