Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
94.5,29344951567,4500,6521100.3,3294256.5,111874,1117952514,17962951.7,"computeKernel(int, int, float *, bool *, int, int, float *, int *)"
5.5,1717927173,1,1717927173.0,1717927173.0,1717927173,1717927173,0.0,"genScoreKernel(int, float *, int *, float *)"
