model,mode,batch_size,fp16
vgg16,Base,1024,12574.836818737247
vgg16,CC,1024,11538.40604546297
resnet50,Base,1024,7830.654234567617
resnet50,CC,1024,7403.949419592816
mobilenetv2,Base,1024,11617.258961708709
mobilenetv2,CC,1024,10688.36703775137
squeezenet,Base,1024,12365.14900498501
squeezenet,CC,1024,11756.850746705039
attention92,Base,1024,5473.064018669235
attention92,CC,1024,5112.417762523846
inceptionv4,Base,1024,1519.3257612324385
inceptionv4,CC,1024,1507.710914339484
